Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
37,Franco Moyano\Franco-Moyano,ar ARG,MF,Argentinos Jun,21,1997,19,15,1281,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
38,Fausto Montero\Fausto-Montero,ar ARG,MF,Argentinos Jun,30,1988,7,0,115,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
39,Matko Miljevic\Matko-Miljevic,us USA,MFFW,Argentinos Jun,18,2001,6,2,259,1,0,0,0,0,0,0.35,0.00,0.35,0.35,0.35,Matches
40,Kevin Mac Allister\Kevin-Mac-Allister,ar ARG,DF,Argentinos Jun,21,1997,2,2,163,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
41,Francis Mac Allister\Francis-Mac-Allister,ar ARG,MF,Argentinos Jun,23,1995,21,21,1633,1,1,0,0,8,1,0.06,0.06,0.11,0.06,0.11,Matches
42,Edwar López\Edwar-Lopez,co COL,FW,Argentinos Jun,24,1995,7,4,359,1,0,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches
43,Franco Ibarra\Franco-Ibarra,ar ARG,MF,Argentinos Jun,18,2001,1,0,12,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
44,Gabriel Hauche\Gabriel-Hauche,ar ARG,MFFW,Argentinos Jun,32,1986,22,22,1808,7,1,0,0,5,0,0.35,0.05,0.40,0.35,0.40,Matches
45,Elías Gómez\Elias-Gomez,ar ARG,DF,Argentinos Jun,25,1994,22,22,1979,1,1,0,0,6,1,0.05,0.05,0.09,0.05,0.09,Matches
46,César Florentín\Cesar-Florentin,ar ARG,MF,Argentinos Jun,20,1999,5,0,139,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
47,Iván Colman\Ivan-Colman,ar ARG,MF,Argentinos Jun,24,1995,12,10,711,0,1,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches
48,Lucas Chávez\Lucas-Chavez,ar ARG,GK,Argentinos Jun,23,1995,23,23,2070,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
49,Maximiliano Centurión\Maximiliano-Centurion,ar ARG,DF,Argentinos Jun,20,1999,1,0,32,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
50,Matías Caruzzo\Matias-Caruzzo,ar ARG,DF,Argentinos Jun,34,1984,2,1,92,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
51,Raúl Bobadilla\Raul-Bobadilla,py PAR,FW,Argentinos Jun,32,1987,2,0,38,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
52,Damián Batallini\Damian-Batallini,ar ARG,MFFW,Argentinos Jun,23,1996,19,18,1585,2,1,0,0,4,0,0.11,0.06,0.17,0.11,0.17,Matches
53,Marcos Angeleri\Marcos-Angeleri,ar ARG,DF,Argentinos Jun,36,1983,8,4,455,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
54,Miguel Ángel Torrén\Miguel-Angel-Torren,ar ARG,DF,Argentinos Jun,30,1988,22,22,1938,1,1,0,1,8,0,0.05,0.05,0.09,0.05,0.09,Matches
55,Tomás Andrade\Tomas-Andrade,ar ARG,MF,Argentinos Jun,22,1996,3,0,51,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
56,Lucas Ambrogio\Lucas-Ambrogio,ar ARG,FW,Argentinos Jun,20,1999,1,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
57,Fernando Torrent\Fernando-Torrent,ar ARG,DF,Arsenal,27,1991,23,22,1987,1,3,0,0,4,0,0.05,0.14,0.18,0.05,0.18,Matches
58,Jesús Soraire\Jesus-Soraire,ar ARG,MF,Arsenal,30,1988,22,20,1640,0,3,0,0,2,0,0.00,0.16,0.16,0.00,0.16,Matches
59,Joel Soñora\Joel-Sonora,us USA,MF,Arsenal,22,1996,17,5,557,4,0,0,0,0,0,0.65,0.00,0.65,0.65,0.65,Matches
60,Franco Sbuttoni\Franco-Sbuttoni,ar ARG,DF,Arsenal,30,1989,21,21,1828,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches
61,Daniel Sappa\Daniel-Sappa,ar ARG,GK,Arsenal,24,1995,11,11,990,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
62,Ezequiel Rescaldani\Ezequiel-Rescaldani,ar ARG,FW,Arsenal,27,1992,15,6,630,1,2,1,1,3,0,0.14,0.29,0.43,0.00,0.29,Matches
63,Facundo Pons\Facundo-Pons,ar ARG,MF,Arsenal,23,1995,3,1,89,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
64,Lucas Piovi\Lucas-Piovi,ar ARG,MF,Arsenal,27,1992,20,19,1664,1,0,0,0,7,0,0.05,0.00,0.05,0.05,0.05,Matches
65,Leonel Picco\Leonel-Picco,ar ARG,MF,Arsenal,19,1999,2,0,39,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
66,Fabio Pereyra\Fabio-Pereyra,ar ARG,DF,Arsenal,29,1990,21,21,1889,1,0,0,0,8,1,0.05,0.00,0.05,0.05,0.05,Matches
67,Emiliano Papa\Emiliano-Papa,ar ARG,DF,Arsenal,37,1982,23,23,2070,0,1,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches
68,Lucas Necul\Lucas-Necul,ar ARG,MF,Arsenal,19,1999,5,0,121,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
69,Emiliano Méndez\Emiliano-Mendez,ar ARG,MF,Arsenal,30,1989,12,6,680,2,2,0,0,3,0,0.26,0.26,0.53,0.26,0.53,Matches
70,Juan Manuel García\Juan-Manuel-Garcia,ar ARG,FW,Arsenal,26,1992,19,17,1467,4,2,0,0,1,0,0.25,0.12,0.37,0.25,0.37,Matches
71,Lautaro Joel Parisi\Lautaro-Joel-Parisi,ar ARG,FWMF,Arsenal,25,1994,10,6,425,1,1,0,0,0,0,0.21,0.21,0.42,0.21,0.42,Matches
72,Nicolás Giménez\Nicolas-Gimenez,ar ARG,MFFW,Arsenal,23,1996,22,21,1683,7,4,0,1,2,0,0.37,0.21,0.59,0.37,0.59,Matches
73,Maximiliano Gagliardo\Maximiliano-Gagliardo,ar ARG,GK,Arsenal,36,1983,12,12,1080,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
74,Juan Cruz Kaprof\Juan-Cruz-Kaprof,ar ARG,FW,Arsenal,24,1995,17,13,1012,7,4,0,0,6,0,0.62,0.36,0.98,0.62,0.98,Matches
75,Ezequiel Cérica\Ezequiel-Cerica,ar ARG,FW,Arsenal,32,1986,11,2,319,1,0,0,0,1,0,0.28,0.00,0.28,0.28,0.28,Matches
76,Mateo Carabajal\Mateo-Carabajal,ar ARG,DF,Arsenal,22,1997,10,5,553,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
77,Alejo Antilef\Alejo-Antilef,ar ARG,MF,Arsenal,21,1998,4,0,87,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
78,Gastón Álvarez Suárez\Gaston-Alvarez-Suarez,ar ARG,MF,Arsenal,26,1993,22,22,1861,6,1,1,1,5,1,0.29,0.05,0.34,0.24,0.29,Matches
79,Sergio Vittor\Sergio-Vittor,ar ARG,MFDF,Banfield,30,1989,14,13,1191,1,0,0,0,5,0,0.08,0.00,0.08,0.08,0.08,Matches
80,Claudio Villagra\Claudio-Villagra,ar ARG,FW,Banfield,22,1997,3,0,34,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
81,Pablo Velázquez\Pablo-Velazquez,py PAR,FW,Banfield,32,1987,3,2,203,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
82,Agustín Urzi\Agustin-Urzi,ar ARG,MF,Banfield,19,2000,18,15,1403,0,1,0,0,6,0,0.00,0.06,0.06,0.00,0.06,Matches
83,Martín Payero\Martin-Payero,ar ARG,MF,Banfield,20,1998,1,0,18,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
84,Dani Osvaldo\Dani-Osvaldo,it ITA,FW,Banfield,33,1986,2,0,62,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
85,Matías Moya\Matias-Moya,ar ARG,MF,Banfield,21,1998,5,2,158,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
86,Alexis Maldonado\Alexis-Maldonado,ar ARG,DF,Banfield,21,1997,14,13,1172,1,0,0,0,1,0,0.08,0.00,0.08,0.08,0.08,Matches
87,Luciano Lollo\Luciano-Lollo,ar ARG,DF,Banfield,32,1987,17,16,1408,1,1,0,0,7,1,0.06,0.06,0.13,0.06,0.13,Matches
88,Nery Leyes\Nery-Leyes,ar ARG,MF,Banfield,29,1989,7,7,562,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
