Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
157,Fernando Cosciuc\Fernando-Cosciuc,ar ARG,DF,CA Huracán,21,1998,1,0,14,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
158,Nicolás Cordero\Nicolas-Cordero,ar ARG,FWMF,CA Huracán,20,1999,13,7,672,2,1,0,0,0,0,0.27,0.13,0.40,0.27,0.40,Matches
159,Fernando Coniglio\Fernando-Coniglio,ar ARG,FWMF,CA Huracán,27,1991,17,8,795,3,0,0,0,2,0,0.34,0.00,0.34,0.34,0.34,Matches
160,Andrés Chávez\Andres-Chavez,ar ARG,FW,CA Huracán,28,1991,11,7,592,1,0,0,0,3,0,0.15,0.00,0.15,0.15,0.15,Matches
161,Adrián Calello\Adrian-Calello,ar ARG,MF,CA Huracán,32,1987,15,9,927,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
162,Rodrigo Cabral\Rodrigo-Cabral,ar ARG,FW,CA Huracán,18,2000,2,0,27,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
163,Norberto Briasco\Norberto-Briasco,am ARM,MFFW,CA Huracán,23,1996,18,14,1199,3,1,0,0,2,0,0.23,0.08,0.30,0.23,0.30,Matches
164,Mauro Bogado\Mauro-Bogado,ar ARG,MF,CA Huracán,35,1984,19,15,1258,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,Matches
165,Gonzalo Bettini\Gonzalo-Bettini,ar ARG,DF,CA Huracán,27,1991,17,14,1306,0,1,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches
166,Lucas Barrios\Lucas-Barrios,py PAR,FW,CA Huracán,34,1984,8,7,570,1,1,0,0,1,0,0.16,0.16,0.32,0.16,0.32,Matches
167,Lucas Bareiro\Lucas-Bareiro,ar ARG,MFDF,CA Huracán,24,1995,22,22,1980,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches
168,Joaquín Arzura\Joaquin-Arzura,ar ARG,MF,CA Huracán,26,1993,3,2,154,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
169,Carlos Araujo\Carlos-Araujo,ar ARG,DFMF,CA Huracán,37,1981,11,10,814,0,0,0,0,3,2,0.00,0.00,0.00,0.00,0.00,Matches
170,Franco Troyansky\Franco-Troyansky,ar ARG,FWMF,CA Unión,22,1997,22,9,1041,4,1,1,1,1,0,0.35,0.09,0.43,0.26,0.35,Matches
171,Lucas Ríos\Lucas-Rios,ar ARG,MF,CA Unión,21,1998,2,1,77,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
172,Marcos Peano\Marcos-Peano,ar ARG,GK,CA Unión,20,1998,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
173,Juan Nardoni\Juan-Nardoni,ar ARG,MF,CA Unión,17,2002,1,0,18,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
174,Sebastián Moyano\Sebastian-Moyano,ar ARG,GK,CA Unión,28,1990,20,20,1800,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
175,Federico Milo\Federico-Milo,ar ARG,DFMF,CA Unión,27,1992,18,11,998,0,1,0,0,4,0,0.00,0.09,0.09,0.00,0.09,Matches
176,Óscar Méndez\Oscar-Mendez,uy URU,MF,CA Unión,24,1994,17,11,1005,1,0,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches
177,Nicolas Mazzola\Nicolas-Mazzola,ar ARG,FWMF,CA Unión,29,1990,13,9,692,2,1,0,0,2,0,0.26,0.13,0.39,0.26,0.39,Matches
178,Damián Martínez\Damian-Martinez,ar ARG,DF,CA Unión,29,1990,13,13,1139,0,0,0,0,7,1,0.00,0.00,0.00,0.00,0.00,Matches
179,Yeimar Gómez Andrade\Yeimar-Gomez-Andrade,co COL,DF,CA Unión,27,1992,15,15,1350,2,0,0,0,5,0,0.13,0.00,0.13,0.13,0.13,Matches
180,Franco Godoy\Franco-Godoy,ar ARG,DF,CA Unión,,,2,1,94,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
181,Francisco Gerometta\Francisco-Gerometta,ar ARG,DF,CA Unión,19,1999,1,1,65,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
182,Jalil Elías\Jalil-Elias,ar ARG,MF,CA Unión,23,1996,21,21,1645,1,1,0,0,3,0,0.05,0.05,0.11,0.05,0.11,Matches
183,Pablo Cuadra\Pablo-Cuadra,ar ARG,FW,CA Unión,24,1995,6,2,214,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
184,Claudio Corvalán\Claudio-Corvalan,ar ARG,DF,CA Unión,30,1989,19,19,1666,0,2,0,0,5,0,0.00,0.11,0.11,0.00,0.11,Matches
185,Gastón Comas\Gaston-Comas,ar ARG,MF,CA Unión,21,1998,5,2,194,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
186,Emanuel Cecchini\Emanuel-Cecchini,ar ARG,MF,CA Unión,22,1996,4,2,257,0,1,0,0,0,0,0.00,0.35,0.35,0.00,0.35,Matches
187,Juan Cavallaro\Juan-Cavallaro,ar ARG,MF,CA Unión,25,1994,11,4,469,1,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,Matches
188,Gabriel Carabajal\Gabriel-Carabajal,ar ARG,MF,CA Unión,27,1991,16,11,1018,1,1,1,1,0,1,0.09,0.09,0.18,0.00,0.09,Matches
189,Ezequiel Cañete\Ezequiel-Canete,ar ARG,FW,CA Unión,20,1999,3,1,131,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
190,Franco Calderón\Franco-Calderon,ar ARG,DF,CA Unión,21,1998,8,7,650,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
191,Javier Cabrera\Javier-Cabrera,uy URU,MF,CA Unión,27,1992,6,5,451,1,0,0,0,1,0,0.20,0.00,0.20,0.20,0.20,Matches
192,Walter Bou\Walter-Bou,ar ARG,FW,CA Unión,25,1993,20,20,1708,5,1,1,1,2,1,0.26,0.05,0.32,0.21,0.26,Matches
193,Jonathan Bottinelli\Jonathan-Bottinelli,ar ARG,DF,CA Unión,34,1984,18,18,1597,0,0,0,0,8,3,0.00,0.00,0.00,0.00,0.00,Matches
194,Ezequiel Bonifacio\Ezequiel-Bonifacio,ar ARG,MF,CA Unión,25,1994,21,20,1677,2,2,0,0,4,0,0.11,0.11,0.21,0.11,0.21,Matches
195,Brian Blasi\Brian-Blasi,ar ARG,DF,CA Unión,23,1996,14,14,1260,1,0,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches
196,Alberto Assis\Alberto-Assis,uy URU,MF,CA Unión,26,1993,2,1,97,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
197,Braian Álvarez\Braian-Alvarez,ar ARG,MF,CA Unión,21,1997,5,1,134,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
198,Nelson Acevedo\Nelson-Acevedo,ar ARG,MF,CA Unión,31,1988,15,11,955,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
199,Leonardo Villalba\Leonardo-Villalba,ar ARG,MF,CC Córdoba,24,1994,6,1,142,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
200,Hugo Vera Oviedo\Hugo-Vera-Oviedo,py PAR,DF,CC Córdoba,28,1991,7,7,629,1,0,0,0,5,1,0.14,0.00,0.14,0.14,0.14,Matches
201,Cristian Vega\Cristian-Vega,ar ARG,MF,CC Córdoba,25,1993,20,20,1692,0,2,0,0,8,0,0.00,0.11,0.11,0.00,0.11,Matches
202,Oscar Salomón\Oscar-Salomon,ar ARG,DF,CC Córdoba,20,1999,9,8,728,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
203,Joao Rodríguez\Joao-Rodriguez,co COL,MFFW,CC Córdoba,23,1996,15,4,437,2,0,1,1,1,0,0.41,0.00,0.41,0.21,0.21,Matches
204,Ismael Quílez\Ismael-Quilez,ar ARG,DF,CC Córdoba,29,1989,17,17,1515,0,1,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches
205,Gervasio Núñez\Gervasio-Nunez,ar ARG,MFFW,CC Córdoba,31,1988,17,14,1224,1,1,0,1,5,0,0.07,0.07,0.15,0.07,0.15,Matches
206,Matías Nani\Matias-Nani,ar ARG,DF,CC Córdoba,21,1998,19,18,1646,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
207,Mateo Montenegro\Mateo-Montenegro,ar ARG,MF,CC Córdoba,20,1998,2,1,88,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
208,Nicolás Miracco\Nicolas-Miracco,ar ARG,FW,CC Córdoba,28,1991,10,4,449,1,1,0,0,1,0,0.20,0.20,0.40,0.20,0.40,Matches
209,Facundo Melivillo\Facundo-Melivillo,ar ARG,MFFW,CC Córdoba,26,1992,16,12,1059,0,1,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matches
210,Marcelo Meli\Marcelo-Meli,ar ARG,MF,CC Córdoba,27,1992,17,15,1276,1,3,0,0,6,1,0.07,0.21,0.28,0.07,0.28,Matches
211,Diego Matías Rodríguez\Diego-Matias-Rodriguez,ar ARG,GK,CC Córdoba,30,1989,22,22,1980,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
212,Francisco Manenti\Francisco-Manenti,ar ARG,DF,CC Córdoba,23,1996,5,5,450,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
213,Jonathan Herrera\Jonathan-Herrera,ar ARG,FW,CC Córdoba,27,1991,20,17,1599,6,4,2,2,2,0,0.34,0.23,0.56,0.23,0.45,Matches
214,Jonathan Galván\Jonathan-Galvan,ar ARG,DF,CC Córdoba,27,1992,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
215,Santiago Gallucci Otero\Santiago-Gallucci-Otero,ar ARG,MF,CC Córdoba,28,1991,3,2,163,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
216,Leonel Ferroni\Leonel-Ferroni,ar ARG,MF,CC Córdoba,23,1996,1,1,45,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
217,Nicolás Femia\Nicolas-Femia,ar ARG,MF,CC Córdoba,22,1996,2,2,105,1,0,0,0,0,0,0.86,0.00,0.86,0.86,0.86,Matches
218,Marcos Fabián Sánchez\Marcos-Fabian-Sanchez,ar ARG,MFDF,CC Córdoba,29,1990,5,4,329,1,0,0,0,2,0,0.27,0.00,0.27,0.27,0.27,Matches
219,Cristian Díaz\Cristian-Diaz,ar ARG,DF,CC Córdoba,30,1989,8,7,644,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
220,Juan Daniel Galeano\Juan-Daniel-Galeano,ar ARG,MF,CC Córdoba,30,1989,16,12,960,1,0,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches
221,Dany Cure\Dany-Cure,ve VEN,FWMF,CC Córdoba,29,1990,5,3,259,1,0,0,0,0,0,0.35,0.00,0.35,0.35,0.35,Matches
222,Franco Cristaldo\Franco-Cristaldo,ar ARG,MF,CC Córdoba,22,1996,17,10,1017,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
223,Nicolás Correa\Nicolas-Correa,uy URU,DF,CC Córdoba,35,1983,6,6,503,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches
224,Cristian Chávez\Cristian-Chavez,ar ARG,FWMF,CC Córdoba,32,1987,3,0,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
225,Maximiliano Cavallotti\Maximiliano-Cavallotti,ar ARG,GK,CC Córdoba,34,1984,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
226,Jonathan Bay\Jonathan-Bay,ar ARG,DF,CC Córdoba,26,1993,21,21,1834,1,0,0,0,4,0,0.05,0.00,0.05,0.05,0.05,Matches
227,Mauro Barraza\Mauro-Barraza,ar ARG,MF,CC Córdoba,23,1996,2,0,32,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
228,Lisandro Alzugaray\Lisandro-Alzugaray,ar ARG,MF,CC Córdoba,29,1990,18,10,965,4,2,0,0,1,0,0.37,0.19,0.56,0.37,0.56,Matches
229,José Adolfo Valencia\Jose-Adolfo-Valencia,co COL,FW,CC Córdoba,27,1991,8,6,473,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
230,Fernando Zuqui\Fernando-Zuqui,ar ARG,MFDF,Colón,27,1991,19,18,1545,1,0,0,0,4,0,0.06,0.00,0.06,0.06,0.06,Matches
231,Alex Vigo\Alex-Vigo,ar ARG,DF,Colón,20,1999,14,14,1214,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
232,Lucas Viatri\Lucas-Viatri,ar ARG,FW,Colón,32,1987,6,3,341,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
233,Damián Schmidt\Damian-Schmidt,ar ARG,DF,Colón,26,1992,4,4,360,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
234,Franco Quiroz\Franco-Quiroz,ar ARG,DF,Colón,21,1998,3,3,270,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
235,Santiago Pierotti\Santiago-Pierotti,ar ARG,MF,Colón,18,2001,7,1,165,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
236,Guillermo Ortiz\Guillermo-Ortiz,ar ARG,DF,Colón,26,1992,10,10,900,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
237,Jorge Ortega\Jorge-Ortega,py PAR,FWMF,Colón,28,1991,1,0,31,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
238,Emanuel Olivera\Emanuel-Olivera,ar ARG,DF,Colón,29,1990,19,19,1710,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
239,Wilson Morelo\Wilson-Morelo,co COL,FW,Colón,32,1987,20,14,1231,6,1,0,0,3,0,0.44,0.07,0.51,0.44,0.51,Matches
240,Luis Miguel Rodríguez\Luis-Miguel-Rodriguez,ar ARG,FWMF,Colón,34,1985,18,15,1319,3,5,1,1,3,0,0.20,0.34,0.55,0.14,0.48,Matches
241,Rafael Marcelo Delgado\Rafael-Marcelo-Delgado,ar ARG,DF,Colón,29,1990,7,7,630,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
242,Federico Lértora\Federico-Lertora,ar ARG,MF,Colón,29,1990,17,16,1334,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches
243,Nicolás Leguizamón\Nicolas-Leguizamon,ar ARG,FW,Colón,24,1995,7,4,340,1,0,1,1,1,0,0.26,0.00,0.26,0.00,0.00,Matches
244,Rafael García Casanova\Rafael-Garcia-Casanova,uy URU,DF,Colón,30,1989,5,5,439,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
245,Brian Galván\Brian-Galvan,ar ARG,MFFW,Colón,,,5,2,251,1,0,0,0,2,0,0.36,0.00,0.36,0.36,0.36,Matches
246,Matías Fritzler\Matias-Fritzler,ar ARG,MF,Colón,32,1986,13,12,1025,1,0,0,0,4,0,0.09,0.00,0.09,0.09,0.09,Matches
247,Brian Fernández\Brian-Fernandez,ar ARG,FWMF,Colón,24,1994,1,0,32,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
248,Brian Farioli\Brian-Farioli,ar ARG,MF,Colón,21,1998,5,3,277,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
249,Facundo Farías\Facundo-Farias,ar ARG,MF,Colón,16,2002,2,0,36,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
250,Marcelo Estigarribia\Marcelo-Estigarribia,py PAR,MFDF,Colón,31,1987,21,18,1593,0,1,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
251,Gabriel Esparza\Gabriel-Esparza,ar ARG,MF,Colón,26,1993,9,3,413,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
252,Gonzalo Escobar\Gonzalo-Escobar,ar ARG,DF,Colón,22,1997,13,12,957,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
253,Gastón Díaz\Gaston-Diaz,ar ARG,DF,Colón,31,1988,9,8,664,0,1,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches
254,Mauro Da Luz\Mauro-Da-Luz,uy URU,MFFW,Colón,24,1994,11,4,458,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
255,Juan Cruz Zurbriggen\Juan-Cruz-Zurbriggen,ar ARG,FW,Colón,19,2000,1,0,26,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
256,Ignacio Chicco\Ignacio-Chicco,ar ARG,GK,Colón,23,1996,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
257,Tomás Chancalay\Tomas-Chancalay,ar ARG,MFFW,Colón,20,1999,17,8,811,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
258,Guillermo Celis\Guillermo-Celis,co COL,MF,Colón,26,1993,1,1,55,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
259,Leonardo Burián\Leonardo-Burian,uy URU,GK,Colón,35,1984,22,22,1980,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
260,Bruno Bianchi\Bruno-Bianchi,ar ARG,DF,Colón,30,1989,2,2,180,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
261,Christian Bernardi\Christian-Bernardi,ar ARG,MF,Colón,29,1990,14,11,926,2,0,0,0,2,1,0.19,0.00,0.19,0.19,0.19,Matches
262,Rodrigo Aliendro\Rodrigo-Aliendro,ar ARG,MF,Colón,28,1991,11,8,651,1,0,0,0,1,1,0.14,0.00,0.14,0.14,0.14,Matches
263,Lucas Acevedo\Lucas-Acevedo,ar ARG,DF,Colón,27,1991,6,5,459,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
264,Lucas Villarruel\Lucas-Villarruel,ar ARG,MF,Defensa y Just,28,1990,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
265,Ezequiel Unsain\Ezequiel-Unsain,ar ARG,GK,Defensa y Just,24,1995,23,23,2070,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
266,Nicolás Tripichio\Nicolas-Tripichio,ar ARG,DFMF,Defensa y Just,23,1996,6,4,359,1,1,0,0,2,0,0.25,0.25,0.50,0.25,0.50,Matches
267,Julio César González Trinidad\Julio-Cesar-Gonzalez-Trinidad,py PAR,DF,Defensa y Just,27,1992,15,15,1245,0,1,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches
268,Juan Rodríguez\Juan-Rodriguez,ar ARG,DF,Defensa y Just,25,1994,22,22,1932,0,1,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches
269,Diego Rodríguez\Diego-Rodriguez,uy URU,MF,Defensa y Just,29,1989,14,14,1191,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
270,Francisco Pizzini\Francisco-Pizzini,ar ARG,MFFW,Defensa y Just,25,1993,5,4,301,1,3,0,0,0,0,0.30,0.90,1.20,0.30,1.20,Matches
271,Gonzalo Piovi\Gonzalo-Piovi,ar ARG,DF,Defensa y Just,24,1994,8,7,630,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
272,Braian Ojeda\Braian-Ojeda,py PAR,MF,Defensa y Just,19,2000,10,2,274,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
273,Juan Miritello\Juan-Miritello,ar ARG,MF,Defensa y Just,20,1999,1,0,15,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
274,Bautista Merlini\Bautista-Merlini,ar ARG,MF,Defensa y Just,24,1995,9,2,356,1,1,0,0,2,0,0.25,0.25,0.51,0.25,0.51,Matches
275,Juan Martín Lucero\Juan-Martin-Lucero,ar ARG,FW,Defensa y Just,27,1991,11,6,641,5,1,0,0,0,0,0.70,0.14,0.84,0.70,0.84,Matches
276,Rafael Marcelo Delgado\Rafael-Marcelo-Delgado,ar ARG,DFMF,Defensa y Just,29,1990,16,16,1433,3,2,0,0,2,0,0.19,0.13,0.31,0.19,0.31,Matches
277,Nicolás Maná\Nicolas-Mana,ar ARG,MF,Defensa y Just,25,1994,8,4,358,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
278,Guido Mainero\Guido-Mainero,ar ARG,FWMF,Defensa y Just,24,1995,10,5,479,2,0,0,0,5,0,0.38,0.00,0.38,0.38,0.38,Matches
279,Raúl Loaiza\Raul-Loaiza,co COL,MF,Defensa y Just,25,1994,15,15,1288,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
280,Nicolás Leguizamón\Nicolas-Leguizamon,ar ARG,FW,Defensa y Just,24,1995,1,0,6,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
281,Matías Laba\Matias-Laba,ar ARG,MF,Defensa y Just,27,1991,1,1,75,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
282,Eugenio Isnaldo\Eugenio-Isnaldo,ar ARG,MF,Defensa y Just,25,1994,2,0,34,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
283,Marcelo Herrera\Marcelo-Herrera,ar ARG,DF,Defensa y Just,27,1992,2,2,135,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
284,Adonis Frías\Adonis-Frias,ar ARG,DF,Defensa y Just,21,1998,4,1,137,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
285,Nicolás Fernández\Nicolas-Fernandez,ar ARG,FW,Defensa y Just,23,1996,16,16,1355,1,3,0,0,2,0,0.07,0.20,0.27,0.07,0.27,Matches
286,Lautaro Escalante\Lautaro-Escalante,ar ARG,MF,Defensa y Just,20,1999,1,0,11,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
287,Mauricio Duarte\Mauricio-Duarte,co COL,DF,Defensa y Just,27,1992,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
288,Héctor David Martínez\Hector-David-Martinez,ar ARG,DF,Defensa y Just,21,1998,20,19,1734,2,1,0,0,3,0,0.10,0.05,0.16,0.10,0.16,Matches
289,Enzo Coacci\Enzo-Coacci,ar ARG,MF,Defensa y Just,20,1998,3,0,55,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
290,Francisco Cerro\Francisco-Cerro,ar ARG,MF,Defensa y Just,31,1988,10,2,344,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
291,Alexis Castro\Alexis-Castro,ar ARG,MF,Defensa y Just,23,1995,14,11,981,2,2,0,0,2,0,0.18,0.18,0.37,0.18,0.37,Matches
292,Neri Cardozo\Neri-Cardozo,ar ARG,MF,Defensa y Just,32,1986,21,20,1650,1,3,0,0,4,0,0.05,0.16,0.22,0.05,0.22,Matches
293,Néstor Breitenbruch\Nestor-Breitenbruch,ar ARG,DF,Defensa y Just,23,1995,4,4,360,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
294,Rubén Botta\Ruben-Botta,ar ARG,MFFW,Defensa y Just,29,1990,7,7,556,1,0,0,0,2,0,0.16,0.00,0.16,0.16,0.16,Matches
295,Marcelo Benitez\Marcelo-Benitez,ar ARG,MF,Defensa y Just,28,1991,9,7,630,1,0,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches
296,Nahuel Barrios\Nahuel-Barrios,ar ARG,MF,Defensa y Just,21,1998,2,0,53,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
297,Fernando Andrés Márquez\Fernando-Andres-Marquez,ar ARG,FW,Defensa y Just,31,1987,12,10,800,4,0,1,1,2,0,0.45,0.00,0.45,0.34,0.34,Matches
298,Ignacio Aliseda\Ignacio-Aliseda,ar ARG,MFFW,Defensa y Just,19,2000,11,7,710,1,2,0,0,0,0,0.13,0.25,0.38,0.13,0.38,Matches
299,Nelson Acevedo\Nelson-Acevedo,ar ARG,MF,Defensa y Just,31,1988,6,4,302,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
300,Jonathan Schunke\Jonathan-Schunke,ar ARG,DF,Estudiantes,32,1987,22,22,1946,1,0,0,0,4,1,0.05,0.00,0.05,0.05,0.05,Matches
301,Darío Sarmiento\Dario-Sarmiento,ar ARG,MF,Estudiantes,16,2003,5,0,140,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
302,Facundo Sánchez\Facundo-Sanchez,ar ARG,DFMF,Estudiantes,29,1990,20,20,1775,1,0,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches
303,Mauricio Rosales\Mauricio-Rosales,ar ARG,MFDF,Estudiantes,27,1992,3,2,169,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
304,Marcos Rojo\Marcos-Rojo,ar ARG,DF,Estudiantes,29,1990,1,1,90,0,1,0,0,1,0,0.00,1.00,1.00,0.00,1.00,Matches
305,Lucas Rodríguez\Lucas-Rodriguez,ar ARG,MFDF,Estudiantes,22,1997,7,7,585,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
306,Mateo Retegui\Mateo-Retegui,ar ARG,FW,Estudiantes,20,1999,18,9,991,4,0,1,1,3,0,0.36,0.00,0.36,0.27,0.27,Matches
307,Matías Pellegrini\Matias-Pellegrini,ar ARG,FW,Estudiantes,19,2000,6,1,161,1,0,0,0,2,0,0.56,0.00,0.56,0.56,0.56,Matches
308,Facundo Mura\Facundo-Mura,ar ARG,DFMF,Estudiantes,20,1999,12,12,969,1,1,0,0,2,0,0.09,0.09,0.19,0.09,0.19,Matches
309,Javier Mascherano\Javier-Mascherano,ar ARG,MFDF,Estudiantes,35,1984,7,7,630,0,1,0,0,3,0,0.00,0.14,0.14,0.00,0.14,Matches
310,Edwar López\Edwar-Lopez,co COL,MFFW,Estudiantes,24,1995,12,7,721,2,1,0,0,0,0,0.25,0.12,0.37,0.25,0.37,Matches
311,Enzo Kalinski\Enzo-Kalinski,ar ARG,MF,Estudiantes,32,1987,16,15,1327,1,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,Matches
312,Gonzalo Jara\Gonzalo-Jara,cl CHI,DF,Estudiantes,33,1985,6,6,494,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
313,Federico González\Federico-Gonzalez,ar ARG,FW,Estudiantes,32,1987,17,11,1066,1,1,0,0,2,0,0.08,0.08,0.17,0.08,0.17,Matches
314,Ángel González\Angel-Gonzalez,ar ARG,FWMF,Estudiantes,25,1994,18,13,1265,2,0,0,0,3,0,0.14,0.00,0.14,0.14,0.14,Matches
315,Iván Gómez\Ivan-Gomez,ar ARG,MF,Estudiantes,22,1997,20,17,1495,1,2,0,0,4,0,0.06,0.12,0.18,0.06,0.18,Matches
316,Diego García\Diego-Garcia,uy URU,MF,Estudiantes,22,1996,16,10,910,1,0,0,0,0,0,0.10,0.00,0.10,0.10,0.10,Matches
317,Juan Fuentes\Juan-Fuentes,cl CHI,DF,Estudiantes,24,1995,16,14,1236,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches
318,Gastón Fernández\Gaston-Fernandez,ar ARG,MF,Estudiantes,35,1983,18,14,985,1,3,0,1,5,0,0.09,0.27,0.37,0.09,0.37,Matches
